FINAL HEAT OF FORMATION =     -1513.8646384330  time =       0.0000000000
  6        8.7553134627       3.8690291451       4.5578582597
  7       -0.9859929362      -2.5577323850      -0.9088991311
  1        0.9075112377       0.3193983760      -0.2634444645
  1       -0.5312381273       0.1188723318      -0.7616907824
  1       -3.8336926877      -2.1864504707      -0.7370864819
FINAL HEAT OF FORMATION =     -1513.8642741878  time =       0.9000000000
  6        4.5972347182      -6.6551205764      -4.1901861252
  6       -2.9082367448       7.3333028130       0.6004089421
  7       -1.0536606903       3.9448087668      -0.1048913383
  1        0.0582036570      -1.3247681820       0.8467372508
  1        0.5054425751      -0.1891115460       0.5571741029
  6       -1.2022464873       0.9038374706       1.6740346656
  8        1.9459149243       0.1677182357      -0.9295014358
  7       -6.2618203476      -3.8117615251      -0.3870756693
  6        8.7234063901       3.8427334559       4.5555939590
  7       -0.9678278854      -2.5418588301      -0.9268264360
  1        0.8748044202       0.3076205493      -0.2559829193
  1       -0.5145100985       0.1250397741      -0.7402542077
  1       -3.7967044313      -2.1024404058      -0.6992307886
FINAL HEAT OF FORMATION =     -1513.8642872781  time =       1.0000000000
  6        4.5718748929      -6.7229642227      -4.1900285286
  6       -2.9074639833       7.3286988318       0.5635611480
  7       -1.0692095440       3.9180953735      -0.0868377841
  1        0.0680788561      -1.3163878056       0.8359177766
  1        0.5002318197      -0.1917033123       0.5364028530
  6       -1.1764870758       0.9061578146       1.6592340915
  8        1.9189983806       0.1643741649      -0.9159407677
  7       -6.2331315434      -3.7910823814      -0.3868432774
  6        8.6875699274       3.8131080764       4.5533116459
  7       -0.9476274325      -2.5240880923      -0.9466486572
  1        0.8384888208       0.2945241853      -0.2476963528
  1       -0.4959701423       0.1319056773      -0.7164717197
  1       -3.7553529764      -2.0106383094      -0.6579604275
FINAL HEAT OF FORMATION =     -1513.8643009024  time =       1.1000000000
  6        4.5427875079      -6.7947148761      -4.1964501207
  6       -2.9058748883       7.3227034960       0.5306958446
  7       -1.0859375523       3.8887084992      -0.0673071456
  1        0.0788739978      -1.3070742106       0.8240469571
  1        0.4945534766      -0.1945696382       0.5136156054
  6       -1.1482687450       0.9086674737       1.6430008127
  8        1.8894206635       0.1606981002      -0.9010417088
