FINAL HEAT OF FORMATION =      -849.7746243362  time =       0.0000000000
  6        0.6867268061       0.2477452075       0.5272402399
  6       -0.3756900542      -0.8129603239       0.0885525759
  6       -0.1267845144      -0.3294409927       0.0042781867
  6       -0.5925266962      -0.0008723910       0.0742187254
  6       -0.9162280126       1.2524978459      -0.0103003801
  6        2.7849064166       0.8753218168      -0.1688470270
  1       -0.5599583202       0.1656066140      -0.0876150756
  1       -0.0605406327       0.1002243240      -0.2292515882
  1        0.1614684211      -0.7275905662      -0.1975315183
  1       -0.7655600873      -0.2316030343       0.2312090657
  1       -0.1594383934       0.1069039310      -0.1553665869
  1       -0.0763749328      -0.6458324309      -0.0765866175
FINAL HEAT OF FORMATION =      -849.7746397724  time =       0.9000000000
  6        0.5687724833       0.3370979496       0.5269817089
  6       -0.4521586074      -0.7649383429       0.1011907953
  6       -0.0304388896      -0.2545528153       0.0033777283
  6       -0.6060566795      -0.0699284088       0.0727281515
  6       -0.8361830339       1.3019607019      -0.0149249022
  6        2.7888849017       0.8686183932      -0.1680592954
  1       -0.4464941508       0.1397505760      -0.0858510132
  1       -0.0311652157       0.0208109776      -0.2421293066
  1        0.1140997281      -0.7858006248      -0.1997193235
  1       -0.8163475649      -0.2248157553       0.2356968389
  1       -0.1482118024       0.0969772622      -0.1533122538
  1       -0.1047011688      -0.6651799134      -0.0759791283
FINAL HEAT OF FORMATION =      -849.7746378762  time =       1.0000000000
  6        0.4503170814       0.4264262623       0.5267268808
  6       -0.5283563302      -0.7169744327       0.1137810441
  6        0.0649433867      -0.1816435367       0.0021009416
  6       -0.6211440260      -0.1381790087       0.0714826180
  6       -0.7558190491       1.3502783869      -0.0195375387
  6        2.7897068593       0.8599260344      -0.1670718293
  1       -0.3328264730       0.1135748096      -0.0841554351
  1       -0.0020238542      -0.0579091028      -0.2549652900
  1        0.0678882721      -0.8417527240      -0.2014818659
  1       -0.8645201817      -0.2181591634       0.2398660066
  1       -0.1368696716       0.0868794590      -0.1512179144
  1       -0.1312960136      -0.6824669838      -0.0755276179
